iter	Passed	Remaining
0	182	182201
1	183	91781
2	185	61555
3	186	46412
4	187	37309
5	188	31239
6	189	26902
7	190	23649
8	192	21155
9	193	19126
10	194	17454
11	195	16087
12	196	14898
13	196	13872
14	197	12979
15	198	12193
16	198	11500
17	199	10880
18	199	10321
19	200	9820
20	200	9365
21	201	8953
22	202	8584
23	202	8238
24	203	7920
25	203	7626
26	204	7354
27	204	7100
28	205	6866
29	205	6647
30	206	6442
31	206	6257
32	207	6077
33	207	5907
34	208	5745
35	209	5596
36	209	5453
37	210	5317
38	210	5188
39	211	5065
40	211	4948
41	212	4840
42	212	4734
43	213	4632
44	213	4535
45	214	4442
46	214	4352
47	215	4268
48	215	4186
49	216	4108
50	216	4034
51	217	3961
52	217	3893
53	218	3828
54	219	3764
55	219	3704
56	220	3644
57	220	3586
58	221	3532
59	222	3481
60	223	3435
61	224	3390
62	224	3342
63	225	3297
64	226	3255
65	227	3212
66	227	3170
67	228	3129
68	229	3091
69	229	3053
70	230	3016
71	231	2980
72	231	2944
73	232	2911
74	233	2877
75	233	2844
76	234	2813
77	235	2781
78	236	2752
79	236	2722
80	237	2694
81	238	2666
82	238	2635
83	239	2608
84	240	2584
85	240	2558
86	241	2533
87	242	2509
88	242	2486
89	243	2462
90	244	2439
91	244	2417
92	245	2395
93	246	2374
94	246	2352
95	247	2331
96	248	2311
97	248	2291
98	249	2271
99	250	2252
100	250	2233
101	251	2218
102	252	2200
103	253	2181
104	253	2164
105	254	2146
106	255	2128
107	255	2111
108	256	2094
109	256	2078
110	257	2062
111	258	2046
112	258	2030
113	259	2014
114	259	1999
115	260	1985
116	260	1969
117	261	1955
118	262	1940
119	262	1926
120	263	1912
121	263	1898
122	264	1884
123	264	1871
124	265	1858
125	266	1846
126	266	1834
127	267	1823
128	268	1811
129	268	1799
130	269	1788
131	270	1777
132	270	1766
133	271	1755
134	272	1744
135	273	1734
136	273	1724
137	274	1714
138	275	1705
139	276	1696
140	276	1686
141	277	1675
142	278	1666
143	278	1657
144	279	1648
145	280	1638
146	280	1630
147	281	1621
148	282	1613
149	283	1605
150	284	1597
151	284	1589
152	285	1581
153	286	1573
154	287	1565
155	287	1557
156	288	1549
157	289	1542
158	290	1534
159	290	1527
160	291	1518
161	292	1511
162	292	1503
163	293	1495
164	294	1488
165	295	1483
166	296	1477
167	297	1472
168	297	1465
169	298	1459
170	299	1454
171	300	1448
172	301	1443
173	302	1437
174	303	1431
175	304	1425
176	305	1419
177	306	1413
178	306	1407
179	307	1401
180	308	1396
181	309	1390
182	310	1384
183	310	1378
184	311	1372
185	312	1367
186	313	1362
187	314	1357
188	315	1351
189	315	1346
190	316	1340
191	317	1335
192	318	1330
193	319	1325
194	319	1320
195	320	1315
