iter	Passed	Remaining
0	183	183041
1	185	92338
2	186	62041
3	188	47005
4	191	38069
5	192	31919
6	193	27493
7	194	24167
8	195	21561
9	196	19467
10	197	17760
11	198	16323
12	198	15105
13	199	14057
14	200	13142
15	200	12341
16	201	11637
17	201	11019
18	202	10466
19	203	9961
20	204	9517
21	205	9117
22	206	8755
23	206	8407
24	207	8086
25	208	7793
26	208	7518
27	209	7262
28	209	7029
29	210	6807
30	211	6603
31	211	6407
32	212	6226
33	213	6053
34	213	5892
35	214	5738
36	214	5592
37	215	5455
38	216	5326
39	216	5204
40	217	5085
41	218	4975
42	218	4870
43	219	4773
44	220	4681
45	221	4592
46	222	4503
47	222	4417
48	223	4336
49	224	4257
50	224	4182
51	225	4109
52	226	4039
53	226	3969
54	227	3905
55	228	3844
56	228	3782
57	229	3722
58	229	3664
59	230	3609
60	231	3559
61	232	3510
62	232	3460
63	233	3412
64	233	3364
65	234	3321
66	235	3280
67	236	3244
68	237	3203
69	238	3164
70	238	3127
71	239	3088
72	240	3050
73	240	3013
74	241	2977
75	242	2943
76	242	2908
77	243	2875
78	243	2842
79	244	2810
80	244	2779
81	245	2753
82	246	2728
83	248	2705
84	249	2684
85	250	2659
86	251	2636
87	253	2622
88	253	2599
89	254	2573
90	255	2549
91	255	2526
92	256	2503
93	257	2481
94	258	2458
95	258	2438
96	259	2416
97	260	2396
98	261	2375
99	261	2355
100	262	2335
101	263	2316
102	263	2297
103	264	2280
104	265	2265
105	266	2251
106	267	2235
107	268	2219
108	269	2203
109	270	2186
110	271	2173
111	272	2157
112	272	2142
113	274	2129
114	276	2130
115	277	2116
116	278	2099
117	279	2085
118	279	2072
119	280	2058
120	281	2046
121	282	2032
122	283	2018
123	284	2008
124	284	1994
125	285	1981
126	286	1967
127	286	1954
128	287	1942
129	288	1930
130	289	1918
131	289	1906
132	290	1895
133	291	1883
134	292	1872
135	292	1860
136	293	1848
137	294	1836
138	294	1825
139	295	1814
140	296	1804
141	296	1792
142	297	1783
143	298	1774
144	299	1765
145	300	1755
146	300	1745
147	301	1736
148	303	1731
149	304	1724
150	304	1714
151	305	1705
152	306	1695
153	307	1687
154	307	1677
155	308	1668
156	309	1660
157	310	1652
158	311	1645
159	312	1638
160	312	1629
161	313	1623
162	314	1616
163	315	1609
164	316	1602
165	319	1605
166	334	1666
167	335	1660
168	338	1664
169	341	1668
170	343	1665
171	344	1659
172	345	1652
173	346	1644
174	347	1637
175	348	1630
176	349	1624
177	350	1618
178	351	1613
179	353	1608
180	354	1602
181	354	1595
182	355	1587
183	356	1580
184	357	1574
185	358	1569
186	360	1566
187	361	1562
188	362	1556
189	363	1549
190	364	1543
191	365	1537
192	366	1531
193	367	1527
194	369	1524
195	371	1523
196	374	1525
197	375	1521
198	377	1520
199	379	1518
200	389	1550
201	391	1546
202	393	1545
203	395	1543
204	398	1543
205	399	1540
206	400	1536
207	404	1540
208	407	1541
209	416	1567
210	418	1565
211	422	1569
212	427	1579
213	429	1577
214	431	1575
215	438	1590
216	441	1593
217	443	1589
218	444	1585
219	446	1583
220	448	1580
221	452	1586
222	454	1582
223	455	1577
224	456	1573
225	458	1569
226	459	1565
227	461	1561
228	462	1557
229	464	1553
230	465	1550
231	467	1547
232	469	1544
233	470	1540
234	471	1535
235	473	1532
236	474	1528
237	476	1525
238	477	1520
239	480	1521
240	482	1518
241	484	1516
242	485	1513
243	487	1509
244	488	1505
245	489	1501
246	491	1498
247	492	1494
248	494	1491
249	496	1489
250	498	1487
251	499	1483
252	501	1480
253	502	1476
254	504	1472
255	505	1469
256	507	1465
257	508	1463
258	510	1459
259	511	1456
260	514	1455
261	515	1452
262	517	1448
263	518	1445
264	520	1442
265	521	1440
266	523	1437
267	525	1436
268	527	1434
269	529	1432
270	531	1429
271	533	1426
272	535	1425
273	536	1422
274	538	1419
275	540	1418
276	542	1415
277	544	1413
278	545	1410
279	546	1406
280	548	1403
281	549	1400
282	551	1397
283	552	1393
284	554	1392
285	556	1389
286	558	1387
287	559	1384
288	561	1381
289	562	1378
290	564	1374
291	565	1371
292	566	1367
293	568	1364
294	570	1362
295	571	1359
296	573	1357
297	575	1355
298	576	1352
299	578	1349
300	579	1345
301	580	1342
302	582	1339
303	583	1336
304	585	1334
305	587	1332
306	589	1330
307	590	1327
308	592	1324
309	593	1320
310	594	1317
311	596	1314
312	597	1311
313	599	1309
314	601	1308
315	603	1306
316	605	1303
317	606	1300
318	608	1297
319	609	1294
320	610	1291
321	612	1289
322	614	1287
323	615	1284
324	617	1282
325	619	1280
326	620	1277
327	621	1273
328	623	1270
329	624	1268
330	625	1264
331	627	1261
332	629	1260
333	631	1258
334	632	1255
335	633	1252
336	635	1250
337	636	1247
338	638	1244
339	639	1241
340	641	1238
341	642	1236
342	645	1236
343	647	1233
344	648	1230
345	649	1228
346	651	1225
347	652	1222
348	653	1219
349	654	1216
350	656	1213
351	658	1211
352	659	1209
353	661	1206
354	662	1203
355	663	1200
356	664	1197
357	666	1194
358	667	1192
359	669	1189
360	670	1187
361	672	1184
362	673	1182
363	675	1180
364	676	1177
365	678	1175
366	679	1172
367	681	1170
368	682	1167
369	684	1165
370	685	1162
371	687	1160
372	689	1159
373	691	1156
374	692	1154
375	693	1151
376	695	1148
377	696	1146
378	697	1143
379	699	1140
380	700	1138
381	702	1136
382	704	1134
383	706	1132
384	707	1130
385	708	1127
386	710	1125
387	711	1122
388	713	1120
389	715	1118
390	716	1116
391	718	1114
392	720	1112
393	721	1110
394	723	1107
395	724	1105
396	725	1102
397	727	1099
398	728	1096
399	729	1094
400	731	1092
401	733	1090
402	734	1088
403	736	1086
404	737	1083
405	738	1081
406	740	1078
407	741	1076
408	743	1073
409	744	1071
410	746	1069
411	748	1068
412	750	1066
413	751	1063
414	753	1061
415	754	1059
416	755	1056
417	757	1054
418	758	1052
419	760	1049
420	761	1046
421	763	1045
422	764	1043
423	766	1040
424	767	1038
425	768	1035
426	769	1033
427	771	1031
428	772	1028
429	774	1026
430	775	1024
431	777	1021
432	778	1019
433	780	1017
434	781	1015
435	782	1012
436	784	1010
437	786	1008
438	787	1006
439	788	1003
440	789	1001
441	791	998
442	793	997
443	795	995
444	796	993
445	798	991
446	799	989
447	801	987
448	802	985
449	805	983
450	807	983
451	809	981
452	811	979
453	813	978
454	814	976
455	816	974
456	818	971
457	819	969
458	821	968
459	823	966
460	825	965
461	827	963
462	829	961
463	830	959
464	832	957
465	833	955
466	835	953
467	837	951
468	839	950
469	841	948
470	842	946
471	844	944
472	845	942
473	847	940
474	849	938
475	851	937
476	853	935
477	855	934
478	857	932
479	858	930
480	860	927
481	861	925
482	862	923
483	864	921
484	866	919
485	868	918
486	870	916
487	871	914
488	873	912
489	874	910
490	876	908
491	877	906
492	879	904
493	880	902
494	883	900
495	884	899
496	886	897
497	888	895
498	889	893
499	891	891
500	892	889
501	894	887
502	895	884
503	897	883
504	899	881
505	900	879
506	902	877
507	903	875
508	904	872
509	906	870
510	907	868
511	909	867
512	912	866
513	914	864
514	916	862
515	917	860
516	919	858
517	920	856
518	922	854
519	923	852
520	925	851
521	927	849
522	929	847
523	930	845
524	932	843
525	933	841
526	934	838
527	935	836
528	937	834
529	939	833
530	940	830
531	943	829
532	944	827
533	946	825
534	948	824
535	949	822
536	951	820
537	952	818
538	954	815
539	955	813
540	958	812
541	959	811
542	961	809
543	963	807
544	964	805
545	966	803
546	967	801
547	969	799
548	971	798
549	973	796
550	975	795
551	977	793
552	978	791
553	979	788
554	981	786
555	982	784
556	983	782
557	985	780
558	987	778
559	988	776
560	989	774
561	991	772
562	993	770
563	994	768
564	996	767
565	997	764
566	999	763
567	1001	761
568	1003	760
569	1005	758
570	1006	756
571	1008	754
572	1009	752
573	1011	750
574	1012	748
575	1014	746
576	1016	744
577	1017	743
578	1019	741
579	1020	739
580	1022	737
581	1023	735
582	1025	733
583	1026	731
584	1027	729
585	1029	727
586	1030	725
587	1032	723
588	1034	721
589	1035	719
590	1037	717
591	1038	715
592	1040	714
593	1041	712
594	1043	710
595	1045	708
596	1047	707
597	1049	705
598	1051	704
599	1053	702
600	1054	700
601	1056	698
602	1057	696
603	1059	694
604	1061	692
605	1062	690
606	1064	689
607	1065	687
608	1067	685
609	1068	683
610	1070	681
611	1071	679
612	1072	677
613	1074	675
614	1076	673
615	1077	671
616	1079	670
617	1081	668
618	1082	666
619	1083	664
620	1085	662
621	1086	660
622	1088	658
623	1090	656
624	1092	655
625	1094	653
626	1096	652
627	1097	650
628	1098	647
629	1099	645
630	1100	643
